term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds_Ratio
Intercept,-46.1852,402783.1069,-0.0001,0.9999,-789486.5682,789394.1979,0.0
C(Gender)[T.1],-0.2383,1.3091,-0.182,0.8556,-2.804,2.3275,0.788
C(Cert)[T.1],26.5474,402782.0949,0.0001,0.9999,-789411.8522,789464.947,338360701427.8522
C(Clin)[T.1],14.2912,902.5994,0.0158,0.9874,-1754.7712,1783.3536,1609082.7221
Exper,0.2283,0.0876,2.6075,0.0091,0.0567,0.3999,1.2565
Prate,0.8532,1.0508,0.812,0.4168,-1.2062,2.9127,2.3472
