term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds_Ratio
Intercept,-2.8397,2.2884,-1.2409,0.2146,-7.3249,1.6455,0.0584
C(Gender)[T.1],-0.4108,1.0906,-0.3767,0.7064,-2.5485,1.7268,0.6631
Exper,0.2764,0.1,2.7637,0.0057,0.0804,0.4724,1.3184
Prate,0.2132,0.731,0.2916,0.7706,-1.2196,1.6459,1.2376
