"term","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",130876.91509434,8077.0734493182,16.2035068661394,0.0000000000000000000000000000000000000000298117249345343
"GenderMale",64037.175228241,10481.1379420929,6.10975407270081,0.00000000364262692357418
